FECHA,TIPO,SERIE,NÚMERO,DOC ENTIDAD TIPO,DOC ENTIDAD NÚMERO,CLIENTE,MONEDA,TIPO DE CAMBIO,UNIDAD DE MEDIDA,SKU,PRODUCTO,CANT,VALOR UNITARIO,PRECIO UNITARIO,DESCUENTO,SUBTOTAL,TIPO DE IGV,IGV,TIPO DE ISC,ISC,IMPUESTO BOLSAS,IMPORTE,ANULADO
15/04/2025,03,BQQ1,26,-,-,VARIOS,PEN,0,NIU,5067,PIPETAS PASTEUR ESTRILES 3ML BX200 ,2,"0,4237288136","0,5",0,"0,8474576271",10,"0,1525423729",,0,0,1,NO
15/04/2025,03,BQQ1,26,-,-,VARIOS,PEN,0,NIU,5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP ,5,"2,5423728814",3,0,"12,7118644068",10,"2,2881355932",,0,0,15,NO
16/04/2025,01,FQQ1,7,6,20147883952,UNIVERSIDAD RICARDO PALMA,PEN,0,NIU,5071,GOTERO PLASTICO 100ML COLOR NATURAL ,200,"1,0593220339","1,25",0,"211,8644067797",10,"38,1355932203",,0,0,250,NO
17/04/2025,03,BQQ1,27,-,-,VARIOS,PEN,0,NIU,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
17/04/2025,03,BQQ1,27,-,-,VARIOS,PEN,0,NIU,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
17/04/2025,03,BQQ1,27,-,-,VARIOS,PEN,0,NIU,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR ,2,"0,8474576271",1,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
17/04/2025,03,BQQ1,27,-,-,VARIOS,PEN,0,NIU,5072,FRASCO YOGURT 1LT BLANCO CON TAPA 38MM ,2,"1,6949152542",2,0,"3,3898305084",10,"0,6101694915",,0,0,"3,9999999999",NO
19/04/2025,03,BQQ1,28,-,-,VARIOS,PEN,0,NIU,5065,PISETA 250ML ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
19/04/2025,03,BQQ1,28,-,-,VARIOS,PEN,0,NIU,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28 ,1,"0,8474576271",1,0,"0,8474576271",10,"0,1525423729",,0,0,1,NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY ,1,"0,8474576271",1,0,"0,8474576271",10,"0,1525423729",,0,0,1,NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA ,1,"2,1186440678","2,5",0,"2,1186440678",10,"0,3813559322",,0,0,"2,5",NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5007,TAPA DISPENSADORA BLANCO B28MM ,2,"1,6949152542",2,0,"3,3898305085",10,"0,6101694915",,0,0,4,NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28 ,2,"0,42372","0,4999896",0,"0,84744",10,"0,1525392",,0,0,"0,9999792",NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR ,3,"0,8474576271",1,0,"2,5423728814",10,"0,4576271186",,0,0,3,NO
19/04/2025,03,BQQ1,29,-,-,VARIOS,PEN,0,NIU,5061,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA ,1,"2,1186440678","2,5",0,"2,1186440678",10,"0,3813559322",,0,0,"2,5",NO
19/04/2025,03,BQQ1,30,-,-,VARIOS,PEN,0,NIU,5039,FRASCO PLASTICO AMBAR 120ML CON TAPA Y TAPON N28 ,18,"0,4802259887","0,5666666667",0,"8,6440677966",10,"1,5559322034",,0,0,"10,2",NO
19/04/2025,03,BQQ1,30,-,-,VARIOS,PEN,0,NIU,5064,GATILLO PULVERIZADOR 28/410 ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28 ,6,"0,42372","0,4999896",0,"2,54232",10,"0,4576176",,0,0,"2,9999376",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28 ,12,"0,31355","0,369989",0,"3,7626",10,"0,677268",,0,0,"4,439868",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro ,2,"2,54237","2,9999966",0,"5,08474",10,"0,9152532",,0,0,"5,9999932",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA ,6,"1,29237","1,5249966",0,"7,75422",10,"1,3957596",,0,0,"9,1499796",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR ,12,"0,9322","1,099996",0,"11,1864",10,"2,013552",,0,0,"13,199952",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON ,12,"1,01694","1,1999892",0,"12,20328",10,"2,1965904",,0,0,"14,3998704",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON ,12,"1,01694","1,1999892",0,"12,20328",10,"2,1965904",,0,0,"14,3998704",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR ,11,"0,9322","1,099996",0,"10,2542",10,"1,845756",,0,0,"12,099956",NO
19/04/2025,03,BQQ1,31,-,-,VARIOS,PEN,0,NIU,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA ,12,"0,15254","0,1799972",0,"1,83048",10,"0,3294864",,0,0,"2,1599664",NO
19/04/2025,03,BQQ1,32,-,-,VARIOS,PEN,0,NIU,5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR ,1,"1,2711864407","1,5",0,"1,2711864407",10,"0,2288135593",,0,0,"1,5",NO
22/04/2025,03,BQQ1,33,-,-,VARIOS,PEN,0,NIU,5064,GATILLO PULVERIZADOR 28/410 ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
22/04/2025,03,BQQ1,33,-,-,VARIOS,PEN,0,NIU,5065,PISETA 250ML ,1,"4,2372881356",5,0,"4,2372881356",10,"0,7627118644",,0,0,5,NO
